,Model Name,Price,Images
0,"realme C25Y (Glacier Blue, 64 GB)","₹10,999",https://rukminim1.flixcart.com/image/312/312/ktlu9ow0/mobile/0/3/i/c25y-rmx3265-realme-original-imag6wmjnqmfhcwt.jpeg?q=70
1,"OPPO A16k (White, 64 GB)","₹15,990",https://rukminim1.flixcart.com/image/312/312/kyg5zm80/mobile/n/y/9/-original-imagazh6fmxqpc4m.jpeg?q=70
2,"Redmi Y2 (Blue, 32 GB)","₹10,499",https://rukminim1.flixcart.com/image/312/312/jn4x47k0/mobile/y/y/h/mi-redmi-y2-y2-original-imaf9vyzpfsvchmp.jpeg?q=70
3,"vivo X50 (Frost Blue, 256 GB)","₹44,990",https://rukminim1.flixcart.com/image/312/312/kcm9t3k0/mobile/t/k/m/vivo-x50-vivo-2004-original-imaftppacmcg2m5q.jpeg?q=70
4,"SAMSUNG Galaxy A13 (Black, 64 GB)","₹14,999",https://rukminim1.flixcart.com/image/312/312/l19m93k0/mobile/g/q/o/-original-imagcv74epgf4fya.jpeg?q=70
5,"realme 9 5G SE (Starry Glow, 128 GB)","₹22,999",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/a/i/f/-original-imagcb65xhtbvfkx.jpeg?q=70
6,"REDMI Note 9 (Scarlet Red, 64 GB)","₹12,397",https://rukminim1.flixcart.com/image/312/312/kdqa4y80/mobile/a/e/r/mi-redmi-note-9-m2003j15si-original-imafukarcpe9ayme.jpeg?q=70
7,"SAMSUNG Galaxy M12 (Blue, 64 GB)","₹10,369",https://rukminim1.flixcart.com/image/312/312/kmjhw280/mobile/h/k/v/galaxy-m12-galaxy-m12-samsung-original-imagffy3wzrmy7ep.jpeg?q=70
8,"Tecno Spark 8 Pro (Interstellar Black, 64 GB)","₹10,299",https://rukminim1.flixcart.com/image/312/312/kyj0vbk0/mobile/z/e/r/spark-8-pro-8-pro-tecno-original-imagaqq6htshgmgz.jpeg?q=70
9,"REDMI 9 Prime (Mint Green, 128 GB)","₹12,999",https://rukminim1.flixcart.com/image/312/312/ke0a7ww0/mobile/4/r/e/mi-redmi-9-prime-m2004j191-original-imafushhfhy3tbp9.jpeg?q=70
10,"OPPO A52 (Stream White, 128 GB)","₹13,999",https://rukminim1.flixcart.com/image/312/312/kdoup3k0/mobile/f/u/j/oppo-a52-cph2061-original-imafujhyxvngxgfd.jpeg?q=70
11,"REDMI 9 Power (Mighty Black, 128 GB)","₹15,999",https://rukminim1.flixcart.com/image/312/312/klwmufk0/mobile/z/4/z/9-power-b089mtr9jw-m2010j19si-redmi-original-imagyx9mtwfgrmxm.jpeg?q=70
12,"vivo V20 SE (Aquamarine Green, 128 GB)","₹22,490",https://rukminim1.flixcart.com/image/312/312/kgjqefk0/mobile/q/x/q/vivo-v20-se-v2022-original-imafwrjzdwvezgsd.jpeg?q=70
13,"REDMI 9 Activ (Coral Green, 64 GB)","₹9,598",https://rukminim1.flixcart.com/image/312/312/kua4r680/mobile/x/x/k/9-activ-m2006c3mii-redmi-original-imag7fng7kfzcfzz.jpeg?q=70
14,"OnePlus Nord CE 2 5G (Gray Mirror, 128 GB)","₹24,990",https://rukminim1.flixcart.com/image/312/312/l1tmf0w0/mobile/j/l/t/nord-ce-2-5g-iv2201-one-plus-original-imagdbyuxwd9vnh4.jpeg?q=70
15,"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","₹19,390",https://rukminim1.flixcart.com/image/312/312/kmccosw0/mobile/g/j/z/note-10-pro-m2010j19ds-redmi-original-imagf9zu7fymtz5k.jpeg?q=70
16,"SAMSUNG Galaxy M12 (Black, 128 GB)","₹13,470",https://rukminim1.flixcart.com/image/312/312/kmwcuq80/mobile/m/1/b/galaxy-m12-galaxy-m12-samsung-original-imagfzunsgwpfgbd.jpeg?q=70
17,"REDMI 9 Prime (Space Blue, 128 GB)","₹12,999",https://rukminim1.flixcart.com/image/312/312/ke1pnrk0/mobile/h/f/2/mi-redmi-9-prime-m2004j191-original-imafutb5637bes8y.jpeg?q=70
18,"Redmi 9A (SeaBlue, 32 GB)","₹6,989",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/w/g/r/mi-redmi-9a-b08696xb4b-original-imafve7pjpemhwk5.jpeg?q=70
19,"Redmi 9A (Midnight Black, 32 GB)","₹7,877",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/b/h/z/mi-redmi-9a-b08696xb4b-original-imafve7pnhwakaha.jpeg?q=70
20,"Redmi 9A (Nature Green, 32 GB)","₹7,975",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/k/h/9/mi-redmi-9a-b08696xb4b-original-imafve7pte7e4zmp.jpeg?q=70
21,"realme C15 Qualcomm Edition (Power Blue, 32 GB)","₹11,999",https://rukminim1.flixcart.com/image/312/312/kdxfc7k0/mobile/j/6/2/realme-c15-rmx2180-original-imafupu9wutkbf2k.jpeg?q=70
22,"REDMI Note 9 (Shadow Black, 64 GB)","₹11,999",https://rukminim1.flixcart.com/image/312/312/khglj0w0/mobile/m/t/7/redmi-note-9-m2003j15si-mi-original-imafxgzhx4prwpgq.jpeg?q=70
23,"Itel A25 (Gradation Green, 16 GB)","₹4,599",https://rukminim1.flixcart.com/image/312/312/kt1u3rk0/mobile/u/c/2/a25-l5002-itel-original-imag6hjznpjww8bq.jpeg?q=70
