,Username,Date,Tweets,Like Count,Reply Count,Retweet Count
0,elonmusk,2022-05-09 13:35:52+00:00,Chocolate milk is insanely good. Just had some.,1034579,67553,71787
1,elonmusk,2022-05-09 00:51:26+00:00,"If I die under mysterious circumstances, it’s been nice knowin ya",1810252,142621,175147
2,elonmusk,2022-05-09 00:40:57+00:00,.@Rogozin sent this to Russian media https://t.co/eMI08NnSby,104407,8547,9058
3,elonmusk,2022-05-06 15:33:10+00:00,Another Starlink mission completed https://t.co/8ZUeQtTegE,148355,8131,10748
4,elonmusk,2022-05-06 15:14:54+00:00,"If Twitter acquisition completes, company will be super focused on hardcore software engineering, design, infosec &amp; server hardware https://t.co/m2HseK0TXl",392982,21246,36340
5,elonmusk,2022-05-04 11:03:33+00:00,I dunno … seems kinda fungible,479452,35813,32007
6,elonmusk,2022-05-03 20:00:53+00:00,"Ultimately, the downfall of the Freemasons was giving away their stonecutting services for nothing",438747,26080,33746
7,elonmusk,2022-05-03 19:34:55+00:00,"Who funds these organizations that want to control your access to information? Let’s investigate …
https://t.co/dBFsGjOMC8",401490,23484,58388
8,elonmusk,2022-05-02 19:00:20+00:00,As I was saying … https://t.co/tsGz6fCWuW,1366785,55556,109505
9,elonmusk,2022-05-02 18:12:19+00:00,"the elusive beauty of imperfection

侘寂",425460,24221,30349
10,elonmusk,2022-05-01 06:23:15+00:00,"Since I’ve been asked a lot:

Buy stock in several companies that make products &amp; services that *you* believe in.

Only sell if you think their products &amp; services are trending worse. Don’t panic when the market does.

This will serve you well in the long-term.",1134855,45342,115677
11,elonmusk,2022-04-29 12:28:10+00:00,"The far left hates everyone, themselves included!",1230066,65541,131540
12,elonmusk,2022-04-28 20:53:49+00:00,.@CocaCola Oh hi lol https://t.co/VhhVM9GzLJ,647022,35690,45472
13,elonmusk,2022-04-28 17:47:22+00:00,https://t.co/Q9OjlJhi7f,1612187,95504,222530
